X,CH1,
Second,Volt,
3.58800e-01,2.00e-01,
3.58804e-01,2.00e-01,
3.58808e-01,2.00e-01,
3.58812e-01,2.00e-01,
3.58816e-01,2.00e-01,
3.58820e-01,2.00e-01,
3.58824e-01,2.00e-01,
3.58828e-01,2.00e-01,
3.58832e-01,2.00e-01,
3.58836e-01,2.00e-01,
3.58840e-01,2.00e-01,
3.58844e-01,2.00e-01,
3.58848e-01,2.00e-01,
3.58852e-01,2.00e-01,
3.58856e-01,2.00e-01,
3.58860e-01,2.00e-01,
3.58864e-01,2.00e-01,
3.58868e-01,2.00e-01,
3.58872e-01,2.00e-01,
3.58876e-01,2.00e-01,
3.58880e-01,2.00e-01,
3.58884e-01,2.00e-01,
3.58888e-01,2.00e-01,
3.58892e-01,2.00e-01,
3.58896e-01,2.00e-01,
3.58900e-01,2.00e-01,
3.58904e-01,2.00e-01,
3.58908e-01,2.00e-01,
3.58912e-01,2.00e-01,
3.58916e-01,2.00e-01,
3.58920e-01,2.00e-01,
3.58924e-01,2.00e-01,
3.58928e-01,2.00e-01,
3.58932e-01,2.00e-01,
3.58936e-01,2.00e-01,
3.58940e-01,2.00e-01,
3.58944e-01,2.00e-01,
3.58948e-01,2.00e-01,
3.58952e-01,2.00e-01,
3.58956e-01,2.00e-01,
3.58960e-01,2.00e-01,
3.58964e-01,2.00e-01,
3.58968e-01,2.00e-01,
3.58972e-01,2.00e-01,
3.58976e-01,2.00e-01,
3.58980e-01,2.00e-01,
3.58984e-01,2.00e-01,
3.58988e-01,2.00e-01,
3.58992e-01,2.00e-01,
3.58996e-01,2.00e-01,
3.59000e-01,2.00e-01,
3.59004e-01,2.00e-01,
3.59008e-01,2.00e-01,
3.59012e-01,2.00e-01,
3.59016e-01,2.00e-01,
3.59020e-01,2.00e-01,
3.59024e-01,2.00e-01,
3.59028e-01,2.00e-01,
3.59032e-01,2.00e-01,
3.59036e-01,2.00e-01,
3.59040e-01,2.00e-01,
3.59044e-01,2.00e-01,
3.59048e-01,2.00e-01,
3.59052e-01,2.00e-01,
3.59056e-01,2.00e-01,
3.59060e-01,2.00e-01,
3.59064e-01,2.00e-01,
3.59068e-01,2.00e-01,
3.59072e-01,2.00e-01,
3.59076e-01,2.00e-01,
3.59080e-01,2.00e-01,
3.59084e-01,2.00e-01,
3.59088e-01,2.00e-01,
3.59092e-01,2.00e-01,
3.59096e-01,2.00e-01,
3.59100e-01,2.00e-01,
3.59104e-01,2.00e-01,
3.59108e-01,2.00e-01,
3.59112e-01,2.00e-01,
3.59116e-01,2.00e-01,
3.59120e-01,2.00e-01,
3.59124e-01,2.00e-01,
3.59128e-01,2.00e-01,
3.59132e-01,2.00e-01,
3.59136e-01,2.00e-01,
3.59140e-01,2.00e-01,
3.59144e-01,2.00e-01,
3.59148e-01,2.00e-01,
3.59152e-01,2.00e-01,
3.59156e-01,2.00e-01,
3.59160e-01,2.00e-01,
3.59164e-01,2.00e-01,
3.59168e-01,2.00e-01,
3.59172e-01,2.00e-01,
3.59176e-01,2.00e-01,
3.59180e-01,2.00e-01,
3.59184e-01,2.00e-01,
3.59188e-01,2.00e-01,
3.59192e-01,2.00e-01,
3.59196e-01,2.00e-01,
3.59200e-01,2.00e-01,
3.59204e-01,2.00e-01,
3.59208e-01,2.00e-01,
3.59212e-01,2.00e-01,
3.59216e-01,2.00e-01,
3.59220e-01,2.00e-01,
3.59224e-01,2.00e-01,
3.59228e-01,2.00e-01,
3.59232e-01,2.00e-01,
3.59236e-01,2.00e-01,
3.59240e-01,2.00e-01,
3.59244e-01,2.00e-01,
3.59248e-01,2.00e-01,
3.59252e-01,2.00e-01,
3.59256e-01,2.00e-01,
3.59260e-01,2.00e-01,
3.59264e-01,2.00e-01,
3.59268e-01,2.00e-01,
3.59272e-01,2.00e-01,
3.59276e-01,2.00e-01,
3.59280e-01,2.00e-01,
3.59284e-01,2.00e-01,
3.59288e-01,2.00e-01,
3.59292e-01,2.00e-01,
3.59296e-01,2.00e-01,
3.59300e-01,2.00e-01,
3.59304e-01,2.00e-01,
3.59308e-01,2.00e-01,
3.59312e-01,2.00e-01,
3.59316e-01,2.00e-01,
3.59320e-01,2.00e-01,
3.59324e-01,2.00e-01,
3.59328e-01,2.00e-01,
3.59332e-01,2.00e-01,
3.59336e-01,2.00e-01,
3.59340e-01,2.00e-01,
3.59344e-01,2.00e-01,
3.59348e-01,2.00e-01,
3.59352e-01,2.00e-01,
3.59356e-01,2.00e-01,
3.59360e-01,2.00e-01,
3.59364e-01,2.00e-01,
3.59368e-01,2.00e-01,
3.59372e-01,2.00e-01,
3.59376e-01,2.00e-01,
3.59380e-01,2.00e-01,
3.59384e-01,2.00e-01,
3.59388e-01,2.00e-01,
3.59392e-01,2.00e-01,
3.59396e-01,2.00e-01,
